centreno,centrename,state
521,"521 A. A. SULE JAMB CBT CENTRE, OLD TOMATO MARKET ROAD, BEHIND TA'AL MODEL E-LIBRARY, LAFIA, NASARAWA STATE",NASARAWA
257,"257 DIOVINIC INT'L ACADEMY, UMUODUDU, UMUEZE NKUME NJABA LGA, IMO STATE",IMO
475,"475 HOMAT SCHOOL OF BASIC STUDIES, 111 OBA OMOLAJA OGUNLEWE  WAY, NEAR IGBE JUNCTION, IGBOGBO, IKORODU, LAGOS STATE",LAGOS
367,367 Barda International College off Hassan Usman Road near GRA Central mosque Katsina,KATSINA
464,"464 YEOLAN CBT CENTRE, 24-26, OMOTAYO AKINBO STRT., ALEMU S/STOP,KETU-IJANIKIN, LAGOS STATE",LAGOS
184,"184 AJAYI IBUKUNOLU CBT CENTRE, KM.10, ADO IKERE EXPRESS WAY, OKE OPA, IKERE EKITI",EKITI
557,"557 OSUN STATE UNIVERSITY, OSOGBO, IMTC CENTRE  A ,  OKE-BAALE, OSOGBO, OSUN STATE.",OSUN
307,"307 MAINLAND COLLEGE OF EDUCATION, HEALTH SCIENCES AND TECHNOLOGY, NO 14B KOFAR KIBO BY BAREWA JUNCTION, ZARIA, KADUNA STATE",KADUNA
465,"465 COMMAND DAY SEC. SCHOOL, OJO CANTONMENT, OJO, LAGOS STATE",LAGOS
432,"432 LUFEM SYSTEMS LTD 31, DORCAS MOROLAHUN STR, EGBATEDO EMMANUEL B/STOP, OFF OLD ABEOKUTA ROAD, OKO OBA AGEGE, LAGOS STATE",LAGOS
482,"482 WESTHILLS HIGH SCHOOL, 1, PLEASANT STRT. ORIOKUTA VIA OJOKORO VILLAGE, IKORODU, LAGOS STATE",LAGOS
629,"629 ELERINMOSA RESOURCE HUB LTD, EDE ROAD, OKE AWESIN, ERIN-OSUN, OSUN STATE.",OSUN
338,"338 IKO SAI ALLAH ICT NETWORK GLOBAL NO 413A RIJIALEMO YANKATAKO OPPOSITE, AZMAN FILLING STATION, KANO, KANO STATE",KANO
462,"462 MERITLAND CBT, 20 MUSA/MERITLAND STREET, IGBOROSUN, BADAGRY, LAGOS STATE",LAGOS
572,"572 EARLY HEIGTHS COLLEGE, NO 17 BABA DADA CLOSE ALAGBOLE, OGUN STATE",OGUN
702,"702 MARANATHA AND ASSOCIATES, ODANI GREEN CITY ESTATE, ELELENWO, RIVERS STATE",RIVERS
602,"602 BABSON ICT CENTRE, ONDO BOYS' HIGH SCHOOL, ONDO, ONDO STATE.",ONDO
169,"169 WAEC INTERNATIONAL OFFICE CBT (CTR. 2), OGUNMWENTIN COMMUNITY, OFF UGBOR VILLAGE RD,  BENIN CITY, EDO STATE",EDO
91,"91 IJAW NATIONAL ACADEMY KAIAMA KOLOKUMA/OPOKUMA LGA, BAYELSA STATE.",BAYELSA
165,"165 EDO STATE UNIVERSITY, KM 7, AUCHI- ABUJA RD, UZAIRE, IYAHMO, EDO STATE",EDO
716,"716 STATE SCHOOL III ELELE TOWN, ALONG OWERRI ROAD, BESIDE OUR LADY OF LOURDES, CATHOLIC CHURCH, IKWERRE L.G.A, RIVERS STATE",RIVERS
265,"265 LITTLE ROCK SCHOOL, 5 SCHOOL ROAD, WORKS LAYOUT, OPP. CRADLE HOTELS, OWERRI, IMO STATE",IMO
260,"260 PRINCE OF PEACE COMPUTER INSTITUTE, BESIDE ST. BENEDICT CATHOLIC CHURCH AMARAKU ISIALA MBANO, IMO STATE",IMO
289,"289 DANBO INTERNATIONAL SCHOOLS, 28 KUBANI CRESCENT, BARNAWA, KADUNA BY DANBO BRIDGE, KADUNA STATE.",KADUNA
695,"695 ACE INTERNATIONAL TRAINING CENTRE, CENTRE 2, PLOT 1 LOCATION ROAD, KM 17, PH/ABA EXPRESSWAY BY TAP BUS STOP, IRIEBE, RIVERS STATE",RIVERS
163,"163 CHRIST DE KING   I.C.T  CENTRE, ADJACENT CHRIST THE KING PARISH, OGUTA ROAD, ONITSHA",ANAMBRA
299,"299 SKOLAK RESOURCES LTD, BZ 3 SARDAUNA CRESCENT OFF JUNCTION ROAD, KADUNA, KADUNA STATE",KADUNA
102,"102 GREG & CO ICT HUB, 216, GONDO ALUOR ROAD, OLD GRA, MAKURDI, BENUE STATE",BENUE
214,"214 UNIVERSITY OF NIGERIA NSUKKA, DIGITAL LIBRARY, NSUKKA, ENUGU STATE",ENUGU
168,"168 COMPLETE COMPUTER AND TECHNOLOGY INSTITUTE 13, ADESUWA GRAMMAR SCHOOL RD, BESIDE STERLING BANK, OFF SAPELE RD, BENIN- CITY, EDO STATE",EDO
40,"40 HERITAGE DIGI-LINK INT'L LTD, 178 HERITAGE HOUSE , IKOT EKPENE ROAD, UYO, AKWA IBOM STATE",AKWA-IBOM
20,"20 AMERICAN UNIVERSITY OF NIGERIA, ICT CENTRE, 226, MODIBBO ADAMA WAY, YOLA, ADAMAWA STATE",ADAMAWA
216,"216 23 TECHNOLOGIES LIMITED .NAF VALLEY ESTATE , 3PL OBENE KANU STREET, OFF SB ABUBAKAR AVENUE BEHIND ABACHA BARRACKS, ASOKORO, ABUJA, FCT",FCT-ABUJA
552,"552 MOSHOOD ABIOLA POLYTECHNIC OJERE ABEOKUTA, OGUN STATE",OGUN
141,"141 MAXNET TECHNOLOGY, 214 USELU LAGOS ROAD",EDO
146,"146 DSUST CENTRE 2 , DELTA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY, OZORO (FORMERLY, DSPZ CENTRE 2, DELTA STATE POLYTECHNIC, OZORO)  ALONG UGHELLI/OZORO ROAD , DELTA STATE",DELTA
739,"739 PEACOCK COLLEGE OF EDUCATION, NO. 2, HOSPITAL ROAD, JALINGO, TARABA STATE",TARABA
712,"712 ICT CENTRE, IGANTIUS AJURU UNIVERSITY OF EDUCATION OF IKWERE RD BY WHIMPY JUNCTION, RUMUOLUMENI, PHC, RIVERS STATE",RIVERS
610,"610 REDEEMERS UNIVERSITY, ICT CENTRE, EDE, OSUN STATE",OSUN
198,"198 INFOTECH IT LIMITED, CENTRE 2, 9 OGATULENYI DRIVE, ATANI",ANAMBRA
73,"73 BAUCHI STATE E-LIBRARY CENTRE,BAUCHI, BAUCHI STATE",BAUCHI
285,"285 AMAL COMPUTERS AND TEST CENTRE NIGERIA LTD, 30 MATAZU ROAD, OPPOSITE AHMADIYYA JUMMAT MOSQUE, TUDUN WADA, KADUNA STATE.",KADUNA
504,"504 NASARAWA STATE UNIVERSITY, ICT CENTER 1, KEFFI, NASARAWA STATE",NASARAWA
563,"563 OSUN STATE UNIVERSITY, OSOGBO, IMTC CENTRE B, OKE-BAALE, OSOGBO, OSUN STATE",OSUN
661,"661 JAMB PROFESSIONAL TEST CENTRE (PTC), OPPOSITE OOPL, IBB BOULEVARD, OKE MOSAN, ABEOKUTA  CENTRE 1, OGUN STATE",OGUN
407,"407 EFFECTIVE INTERNATIONAL COLLEGE, UNILORIN PERMANENT SITE ROAD, TANKE ILORIN, KWARA STATE",KWARA
738,"738 JAMB PROFESSIONAL TEST CENTRE (PTC), JAMB STATE OFFICE, OLD TEACHERS COLLEGE, JALINGO, TARABA STATE",TARABA
631,"631 JAMB PROFESSIONAL TEST CENTRE (PTC), BLOCK Y (COMMERCIAL) OSPDC, OROKI ESTATE, SERVICE AREA, ILOBU ROAD, OSOGBO,OSUN STATE.",OSUN
694,"694 BONNY KINGDOM CBT CENTRE FEDERAL POLUTECHNIC OF OIL AND GAS ABALAMABIE ROAD, BONNY ISLAND, RIVERS STATE",RIVERS
418,"418 PARROT CYBERWORLD LIMITED, EMMANUEL BAPTIST COLLEGE BESIDE LEAD HOSTEL UNILORIN ROAD TANKE ILORIN, KWARA STATE",KWARA
101,"101 e-TC OPPOSITE COLLEGE OF AGRICULTURAL ECONOMICS AND EXTENSION, FEDERAL UNIVERSITY OF AGRICULTURE, MAKURDI, BENUE STATE",BENUE
84,"84 ASPIRE MULTI-LINK INFOTECH RESORT BESIDE FAVOUR MODEL SCHOOL IMIRINGI,OGBIA, BAYELSA STATE.",BAYELSA
704,"704 RANJENNYS SCHOOLS, OBO-WANKE ROAD, BY DIVISIONAL POLICE STATION, ELEME, RIVERS STATE",RIVERS
632,"632 KUNIKE INTERNATIONAL SCHOOL, OKE-IJETU, OFF ILESA GARAGE, OSOGBO, OSUN STATE.",OSUN
59,59 FEDERAL POLYTECHNIC OKO AUDITORUM CENTRE IV ANAMBRA STATE,ANAMBRA
511,"511 EXCELLESIA CBT, NO 9 SULE ADAMU STREET, OFF SANI ABACHA ROAD, BEHIND OANDO FILLING STATION, BESIDE ANDY YOUNG ALUMINIUM, MARARABA, NASARAWA STATE",NASARAWA
267,"267 OWERRI CBT HI-TECH PLOT C15 OKOHIA LAYOUT, VIA WORLD BANK MKT, OWERRI, IMO STATE",IMO
129,"129 JAMB PROFESSIONAL TEST CENTRE (PTC), JAMB STATE OFFICE, ASABA, OKPANAM ROAD, BY NTA JUNCTION, ASABA, DELTA STATE",DELTA
540,"540 JAMB PROFESSIONAL TEST CENTRE (PTC), CBT CENTRE, 3 ARMS ZONE,  MAITUMBI, JAMB OFFICE MINNA, NIGER STATE",NIGER
237,"237 CHRIST THE KINGS COLLEGE, CHRIST THE KINGS COLLEGE ROAD GWAGWALADA, ABUJA, FCT",FCT-ABUJA
750,"750 ISAH NGURU VENTURES, MAI MUSTAPHA STREET EASTERN BYE PASS, CENTRE 1, NGURU, YOBE STATE",YOBE
119,"119 UNIMAID ICT 3 CENTRE, OPP. ELKANEMI HALL, UNIVERSITY OF MAIDUGURI, MAIDUGURI, BORNO STATE",BORNO
643,"643 COMMAND SECONDARY SCHOOL, ICT CENTRE APATA, IBADAN, OPPOSITE SOPDAMAK PETROL STATION, ALONG ABEOKUTA EXPRESSWAY, BODE IGBO, IBADAN, OYO STATE",OYO
663,"663 THE OKE-OGUN POLYTECHNIC, SAKI, OYO STATE",OYO
467,"467 VERA GRACE GROUP OF SCHOOLS CBT, 7, EZEDE STREET, ILOGBO, ELEGBA TOWN BY ILOGBO ELEGBA SEC. SCHOOL B/STOP, OJO",LAGOS
703,"703 MONCORDEL INTERNATIONAL SCHOOL, GREEN CITY, OFF ODANI/AKPAJO ROAD JUNCTION, ELELENWO, PORT HARCOURT, RIVERS STATE",RIVERS
648,"648 SIGNAL WORLD CBT, RASCO BUILDING, ADEGOKE BUS STOP, LAM ADESINA WAY, ORITA CHALLENGE, IBADAN, OYO STATE",OYO
